step,sim_time_s,cmd,x_m,y_m,yaw_fused,yaw_imu,left_enc,right_enc,ds,dtheta_enc
63,2.016,STOP,-4.5275196036698046e-11,1.931247233947032e-18,-3.598690838402559e-07,-3.8078029618304754e-07,-11.560902665835963,11.560903397000093,0.0,2.363560081405767e-14
64,2.048,STOP,-4.5275196036698046e-11,1.931247233947032e-18,-3.609146309296002e-07,-3.8078044184430837e-07,-11.56090266583603,11.56090339700016,0.0,2.190616660815101e-14
65,2.08,STOP,-4.527523422837009e-11,1.9312610558151836e-18,-3.6190790846544897e-07,-3.80780559527949e-07,-11.560902665836092,11.56090339700022,-3.819167204710532e-17,1.9888493367926573e-14
66,2.112,STOP,-4.527523422837009e-11,1.9312610558151836e-18,-3.628515282453952e-07,-3.807806545630399e-07,-11.56090266583615,11.560903397000278,0.0,1.8447298196337694e-14
67,2.144,STOP,-4.5275196036698046e-11,1.931247163671918e-18,-3.6374797229126013e-07,-3.807807322786516e-07,-11.5609026658362,11.560903397000331,3.819167204710532e-17,1.7006103024748813e-14
68,2.176,STOP,-4.5275157845026e-11,1.931233239003629e-18,-3.6459959836096907e-07,-3.807807948952302e-07,-11.560902665836249,11.56090339700038,3.819167204710552e-17,1.5853146887477705e-14
69,2.208,STOP,-4.52752342283701e-11,1.9312611501380498e-18,-3.654086470276364e-07,-3.807808455214001e-07,-11.560902665836295,11.560903397000423,-7.638334409421064e-17,1.4411951715888824e-14
70,2.24,STOP,-4.52752342283701e-11,1.9312611501380498e-18,-3.661772458736394e-07,-3.8078088682169664e-07,-11.560902665836338,11.560903397000466,0.0,1.3835473647253272e-14
71,2.2720000000000002,STOP,-4.52752342283701e-11,1.9312611501380498e-18,-3.669074174935762e-07,-3.8078091924020896e-07,-11.560902665836377,11.560903397000505,0.0,1.2682517509982164e-14
72,2.3040000000000003,STOP,-4.52752342283701e-11,1.9312611501380498e-18,-3.676010830045011e-07,-3.8078094677373997e-07,-11.560902665836412,11.56090339700054,0.0,1.1529561372711057e-14
